explotacion;tipo;especie;clasif;municipio;provincia;oca;huso;longitud_utm;latitud_utm;sistema_productivo;capacidad_productiva;criterio_sostenibilidad;capacidad_menos_4meses;capacidad_4_y_12meses;capacidad_machos;capacidad_hembras;capacidad
ES220067200010;Pasto;Ovino;;Aisa;HUESCA;JACA;30;693893;4732890;;;Convencional;;;;5300;5300
ES220067200010;Pasto;Caprino;;Aisa;HUESCA;JACA;30;693893;4732890;;;Convencional;;;;10;10
ES220067200011;Pasto;Caprino;;Aisa;HUESCA;JACA;30;696293;4735590;;;Convencional;;;;10;10
ES220067200011;Pasto;Ovino;;Aisa;HUESCA;JACA;30;696293;4735590;;;Convencional;;;;761;761
ES220067200012;Pasto;Ovino;;Aisa;HUESCA;JACA;30;695393;4726990;;;Convencional;;;;1000;1000
ES220067200012;Pasto;Caprino;;Aisa;HUESCA;JACA;30;695393;4726990;;;Convencional;;;;10;10
ES220067200013;Pasto;Caprino;;Aisa;HUESCA;JACA;30;696193;4730290;;;Convencional;;;;10;10
ES220067200013;Pasto;Ovino;;Aisa;HUESCA;JACA;30;696193;4730290;;;Convencional;;;;1400;1400
ES220067200014;Pasto;Caprino;;Aisa;HUESCA;JACA;30;695493;4729490;;;Convencional;;;;10;10
ES220067200014;Pasto;Ovino;;Aisa;HUESCA;JACA;30;695493;4729490;;;Convencional;;;;1400;1400
ES220070000608;Producción y reproducción;Caprino;Reproducción para producción de carne;Albalate de Cinca;HUESCA;MONZÓN;30;762445;4623965;;;Convencional;;;;10;10
ES220070000608;Producción y reproducción;Ovino;Reproducción para producción de carne;Albalate de Cinca;HUESCA;MONZÓN;30;762434;4623958;;;Convencional;;;;942;942
ES220077200001;Pasto;Ovino;;Albalate de Cinca;HUESCA;MONZÓN;30;762288;4627750;;;Convencional;;;;400;400
ES220077200001;Pasto;Caprino;;Albalate de Cinca;HUESCA;MONZÓN;30;762288;4627750;;;Convencional;;;;10;10
ES220080000601;Producción y reproducción;Ovino;Reproducción para producción de carne;Albalatillo;HUESCA;SARIÑENA;30;736602;4624735;;;;;;;500;500
ES220080000601;Producción y reproducción;Caprino;Reproducción para producción de carne;Albalatillo;HUESCA;SARIÑENA;30;736823;4624623;;;;;;;10;10
ES220080000602;Producción y reproducción;Ovino;Reproducción para producción de carne;Albalatillo;HUESCA;SARIÑENA;30;736499;4624614;;;;;;;420;420
ES220090000601;Producción y reproducción;Ovino;Reproducción para producción de carne;Albelda;HUESCA;TAMARITE DE LITERA;30;786666;4639153;;;Convencional;;;;770;770
ES220090000601;Producción y reproducción;Caprino;Reproducción para producción de carne;Albelda;HUESCA;TAMARITE DE LITERA;30;786615;4639189;;;Convencional;;;;10;10
ES220090000606;Producción y reproducción;Ovino;Reproducción para producción de carne;Albelda;HUESCA;TAMARITE DE LITERA;30;788870;4639345;;;Convencional;;;;43;43
ES220090000606;Producción y reproducción;Caprino;Reproducción para producción de carne;Albelda;HUESCA;TAMARITE DE LITERA;30;788873;4639340;;;Convencional;;;;10;10
ES220090000611;Producción y reproducción;Caprino;Reproducción para producción de carne;Albelda;HUESCA;TAMARITE DE LITERA;30;790240;4635480;;;Convencional;;;;10;10
ES220090000611;Producción y reproducción;Ovino;Reproducción para producción de carne;Albelda;HUESCA;TAMARITE DE LITERA;30;790253;4635478;;;Convencional;;;;800;800
ES220090000613;Producción y reproducción;Caprino;Reproducción para producción de carne;Albelda;HUESCA;TAMARITE DE LITERA;30;790155;4635085;;;Convencional;;;;10;10
ES220090000613;Producción y reproducción;Ovino;Reproducción para producción de carne;Albelda;HUESCA;TAMARITE DE LITERA;30;790140;4635084;;;Convencional;;;;1380;1380
ES220090000616;Producción y reproducción;Ovino;Reproducción para producción de carne;Albelda;HUESCA;TAMARITE DE LITERA;30;790662;4637817;;;Convencional;;;;64;64
ES220090000616;Producción y reproducción;Caprino;Reproducción para producción de carne;Albelda;HUESCA;TAMARITE DE LITERA;30;790658;4637824;;;Convencional;;;;10;10
ES220097200002;Pasto;Caprino;;Albelda;HUESCA;TAMARITE DE LITERA;30;793814;4636797;;;Convencional;;;;10;10
ES220097200002;Pasto;Ovino;;Albelda;HUESCA;TAMARITE DE LITERA;30;793814;4636797;;;Convencional;160;;;;160
ES220097200003;Pasto;Ovino;Reproducción para producción de carne;Albelda;HUESCA;TAMARITE DE LITERA;30;786824;4638380;;;;;;;100;100
ES220097200005;Pasto;Caprino;Reproducción para producción de carne;Albelda;HUESCA;TAMARITE DE LITERA;30;790543;4635220;;;;;;;10;10
ES220097200005;Pasto;Ovino;Reproducción para producción de carne;Albelda;HUESCA;TAMARITE DE LITERA;30;790543;4635220;;;;;;;150;150
ES220097200006;Pasto;Caprino;Reproducción para producción de carne;Albelda;HUESCA;TAMARITE DE LITERA;30;788721;4642343;;;;;;;15;15
ES220097200006;Pasto;Ovino;Reproducción para producción de carne;Albelda;HUESCA;TAMARITE DE LITERA;30;788721;4642343;;;;;;;500;500
ES220117200001;Pasto;Ovino;;Albero Alto;HUESCA;HUESCA;30;720640;4659052;;;Convencional;;;;1100;1100
ES220117200001;Pasto;Caprino;;Albero Alto;HUESCA;HUESCA;30;720640;4659052;;;Convencional;;;;10;10
ES220117200002;Pasto;Ovino;Reproducción para producción de carne;Albero Alto;HUESCA;HUESCA;30;719461;4659780;;;Convencional;;;;1200;1200
ES220117200003;Pasto;Caprino;Reproducción para producción de carne;Albero Alto;HUESCA;HUESCA;30;719990;4658587;;;;;;;10;10
