explotacion;tipo;especie;clasif;municipio;provincia;oca;huso;longitud_utm;latitud_utm;criterio_sostenibilidad;capacidad
ES221280000413;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Ilche;HUESCA;BARBASTRO;30;751525;4647900;Convencional;100
ES221280000415;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Ilche;HUESCA;BARBASTRO;30;752222;4651976;Convencional;90
ES221280000416;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Ilche;HUESCA;BARBASTRO;30;752827;4652462;Convencional;90
ES221280000417;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Ilche;HUESCA;BARBASTRO;30;753292;4653440;Convencional;90
ES221280000418;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Ilche;HUESCA;BARBASTRO;30;753463;4653401;Convencional;90
ES221280000419;Producción y reproducción;Bóvidos;Reproducción para producción de leche;Ilche;HUESCA;BARBASTRO;30;751980;4652198;Convencional;360
ES221280000420;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Ilche;HUESCA;BARBASTRO;30;751761;4645887;Convencional;120
ES221287000000;Pasto;Bóvidos;;Ilche;HUESCA;BARBASTRO;30;753166;4649977;Convencional;0
ES221287000002;Pasto;Bóvidos;Reproducción para producción de carne;Ilche;HUESCA;BARBASTRO;30;753250;4645950;Convencional;182
ES221287000003;Pasto;Bóvidos;Reproducción para producción de carne;Ilche;HUESCA;BARBASTRO;30;753166;4645750;;245
ES221290000400;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Isábena;HUESCA;GRAUS;30;792139;4690395;Convencional;150
ES221290000402;Producción y reproducción;Bóvidos;Reproducción para producción mixta;Isábena;HUESCA;GRAUS;30;791328;4687064;Convencional;120
ES221290000405;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Isábena;HUESCA;GRAUS;30;787000;4693270;;70
ES221297000001;Pasto;Bóvidos;;Isábena;HUESCA;GRAUS;30;789313;4687299;Convencional;71
ES221297000003;Pasto;Bóvidos;Reproducción para producción de carne;Isábena;HUESCA;GRAUS;30;795140;4688718;;140
ES221297000004;Pasto;Bóvidos;Reproducción para producción de carne;Isábena;HUESCA;GRAUS;30;789297;4690178;;25
ES221297000005;Pasto;Bóvidos;Reproducción para producción de carne;Isábena;HUESCA;GRAUS;30;791255;4681346;;20
ES221297000006;Pasto;Bóvidos;Reproducción para producción de carne;Isábena;HUESCA;GRAUS;30;783924;4694546;;50
ES221300000410;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Jaca;HUESCA;JACA;30;691720;4720080;Convencional;66
ES221300000411;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Jaca;HUESCA;JACA;30;704808;4722360;Convencional;360
ES221300000422;Producción y reproducción;Bóvidos;Reproducción para producción mixta;Jaca;HUESCA;JACA;30;703058;4713347;Convencional;22
ES221300000428;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Jaca;HUESCA;JACA;30;705193;4713075;Convencional;106
ES221300000432;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Jaca;HUESCA;JACA;30;694380;4718200;Convencional;60
ES221300000441;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Jaca;HUESCA;JACA;30;703437;4714056;Convencional;200
ES221300000442;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Jaca;HUESCA;JACA;30;703337;4714203;Convencional;150
ES221300000443;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Jaca;HUESCA;JACA;30;703568;4713965;Convencional;70
ES221300000444;Producción y reproducción;Bóvidos;Reproducción para producción mixta;Jaca;HUESCA;JACA;30;710643;4713040;;66
ES221300000445;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Jaca;HUESCA;JACA;30;705191;4714426;Convencional;40
ES221300000807;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Jaca;HUESCA;JACA;30;709022;4708544;;120
ES221300009442;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Jaca;HUESCA;JACA;30;703338;4714204;;80
ES221307000000;Pasto;Bóvidos;;Jaca;HUESCA;JACA;;;;Convencional;50000
ES221307000003;Pasto;Bóvidos;;Jaca;HUESCA;JACA;30;697577;4707222;Convencional;100
ES221307000005;Pasto;Bóvidos;Reproducción para producción de carne;Jaca;HUESCA;JACA;30;694858;4715930;Convencional;60
ES221307000006;Pasto;Bóvidos;Reproducción para producción de carne;Jaca;HUESCA;JACA;30;696693;4715990;Convencional;30
ES221307000007;Pasto;Bóvidos;Reproducción para producción de carne;Jaca;HUESCA;JACA;30;696556;4715986;Convencional;20
ES221307000008;Pasto;Bóvidos;Reproducción para producción de carne;Jaca;HUESCA;JACA;30;710289;4713696;;30
ES221307000009;Pasto;Bóvidos;Reproducción para producción de carne;Jaca;HUESCA;JACA;30;698099;4720886;;100
ES221307000010;Pasto;Bóvidos;Reproducción para producción de carne;Jaca;HUESCA;JACA;30;698295;4705865;;60
ES221309000000;Plaza de Toros permanente;Bóvidos;;Jaca;HUESCA;JACA;;;;Convencional;
ES221310000406;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Jasa;HUESCA;JACA;30;690363;4728131;Convencional;70
ES221310000407;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Jasa;HUESCA;JACA;30;692493;4729740;Convencional;80
ES221310000409;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Jasa;HUESCA;JACA;30;693300;4729625;;90
ES221317000000;Pasto;Bóvidos;;Jasa;HUESCA;JACA;;;;Convencional;5000
ES221317000001;Pasto;Bóvidos;;Jasa;HUESCA;JACA;;;;Convencional;351
ES221317000002;Pasto;Bóvidos;Reproducción para producción de carne;Jasa;HUESCA;JACA;30;690998;4729549;Convencional;14
ES221330000402;Producción y reproducción;Bóvidos;Reproducción para producción de leche;Labuerda;HUESCA;BOLTAÑA;30;757521;4704121;Convencional;
ES221330000404;Producción y reproducción;Bóvidos;Reproducción para producción mixta;Labuerda;HUESCA;BOLTAÑA;30;757850;4703818;Convencional;70
ES221330000405;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Labuerda;HUESCA;BOLTAÑA;30;757150;4704370;;60
ES221337000000;Pasto;Bóvidos;;Labuerda;HUESCA;BOLTAÑA;30;756523;4704545;Convencional;
ES221337000001;Pasto;Bóvidos;;Labuerda;HUESCA;BOLTAÑA;30;755713;4706202;Convencional;40
ES221357000000;Pasto;Bóvidos;;Laluenga;HUESCA;BARBASTRO;30;744914;4655048;Convencional;
ES221360000404;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Lalueza;HUESCA;SARIÑENA;30;732753;4640557;Convencional;
ES221360000407;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Lalueza;HUESCA;SARIÑENA;30;727836;4633562;Convencional;
ES221360000412;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Lalueza;HUESCA;SARIÑENA;30;725440;4645430;Convencional;120
ES221360000417;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Lalueza;HUESCA;SARIÑENA;30;727323;4636529;Convencional;120
ES221360000422;Producción y reproducción;Bóvidos;Recria de novillas;Lalueza;HUESCA;SARIÑENA;30;733412;4638200;Convencional;438
ES221360000427;Producción y reproducción;Bóvidos;Reproducción para producción de leche;Lalueza;HUESCA;SARIÑENA;30;734052;4641330;Convencional;200
ES221360000429;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Lalueza;HUESCA;SARIÑENA;30;732877;4639561;Convencional;
ES221360000431;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Lalueza;HUESCA;SARIÑENA;30;725267;4646090;Convencional;140
ES221360000432;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Lalueza;HUESCA;SARIÑENA;30;729906;4635090;Convencional;100
ES221360000435;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Lalueza;HUESCA;SARIÑENA;30;725852;4645590;Convencional;90
ES221360000437;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Lalueza;HUESCA;SARIÑENA;30;725485;4640394;;130
ES221360000438;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Lalueza;HUESCA;SARIÑENA;30;728910;4634430;;120
ES221360000439;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Lalueza;HUESCA;SARIÑENA;30;725410;4640800;;100
ES221360000440;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Lalueza;HUESCA;SARIÑENA;30;725888;4634865;;234
ES221360000441;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Lalueza;HUESCA;SARIÑENA;30;730469;4637745;;599
ES221360000442;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Lalueza;HUESCA;SARIÑENA;30;733199;4639403;;400
ES221360000443;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Lalueza;HUESCA;SARIÑENA;30;726223;4640416;;599
ES221367000001;Pasto;Bóvidos;Reproducción para producción de carne;Lalueza;HUESCA;SARIÑENA;30;726900;4638600;;30
ES221367000002;Pasto;Bóvidos;Reproducción para producción de carne;Lalueza;HUESCA;SARIÑENA;30;730100;4632760;;50
ES221370000402;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Lanaja;HUESCA;SARIÑENA;30;725125;4632590;Convencional;590
ES221370000405;Producción y reproducción;Bóvidos;Reproducción para producción mixta;Lanaja;HUESCA;SARIÑENA;30;725053;4630947;Convencional;535
ES221370000407;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Lanaja;HUESCA;SARIÑENA;30;725772;4631389;Convencional;
ES221370000420;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Lanaja;HUESCA;SARIÑENA;30;723667;4627854;;499
ES221370000421;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Lanaja;HUESCA;SARIÑENA;30;723667;4627671;;599
ES221370000422;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Lanaja;HUESCA;SARIÑENA;30;719597;4629395;;240
ES221370000423;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Lanaja;HUESCA;SARIÑENA;30;723672;4630672;;599
ES221370000424;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Lanaja;HUESCA;SARIÑENA;30;724425;4626944;;456
ES221377000001;Pasto;Bóvidos;;Lanaja;HUESCA;SARIÑENA;30;727645;4629868;Convencional;0
ES221390000400;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Laperdiguera;HUESCA;BARBASTRO;30;744430;4652365;Convencional;470
ES221390000401;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Laperdiguera;HUESCA;BARBASTRO;30;744633;4653422;Convencional;160
ES221390000402;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Laperdiguera;HUESCA;BARBASTRO;30;743885;4652585;Convencional;200
ES221390000403;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Laperdiguera;HUESCA;BARBASTRO;30;744613;4653357;Convencional;92
ES221390000404;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Laperdiguera;HUESCA;BARBASTRO;30;743845;4652585;Convencional;200
ES221390000405;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Laperdiguera;HUESCA;BARBASTRO;30;744628;4653478;Convencional;72
ES221390000406;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Laperdiguera;HUESCA;BARBASTRO;30;744679;4653632;Convencional;120
ES221390000407;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Laperdiguera;HUESCA;BARBASTRO;30;744814;4653614;Convencional;240
ES221390000409;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Laperdiguera;HUESCA;BARBASTRO;30;744867;4653790;Convencional;90
ES221390000410;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Laperdiguera;HUESCA;BARBASTRO;30;744325;4652225;Convencional;150
ES221397000000;Pasto;Bóvidos;;Laperdiguera;HUESCA;BARBASTRO;30;745156;4653013;Convencional;
ES221410000400;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Lascellas-Ponzano;HUESCA;BARBASTRO;30;742870;4661143;Convencional;200
ES221410000401;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Lascellas-Ponzano;HUESCA;BARBASTRO;30;741706;4661190;Convencional;100
ES221410000402;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Lascellas-Ponzano;HUESCA;BARBASTRO;30;741800;4660850;Convencional;90
ES221410000403;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Lascellas-Ponzano;HUESCA;BARBASTRO;30;740888;4660345;Convencional;130
ES221410000404;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Lascellas-Ponzano;HUESCA;BARBASTRO;30;741533;4660800;Convencional;90
ES221410000405;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Lascellas-Ponzano;HUESCA;BARBASTRO;30;740867;4660200;Convencional;90
ES221420000400;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo abierto;Lascuarre;HUESCA;GRAUS;30;788308;4679150;Convencional;100
ES221420000402;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Lascuarre;HUESCA;GRAUS;30;789080;4679130;Convencional;150
ES221420000403;Producción y reproducción;Bóvidos;Cebo o cebadero de ciclo cerrado;Lascuarre;HUESCA;GRAUS;30;789040;4679240;Convencional;100
ES221430000400;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Laspaúles;HUESCA;CASTEJÓN DE SOS;30;793387;4707323;Convencional;45
ES221430000401;Producción y reproducción;Bóvidos;Reproducción para producción mixta;Laspaúles;HUESCA;CASTEJÓN DE SOS;30;796127;4708577;Convencional;
ES221430000402;Producción y reproducción;Bóvidos;Reproducción para producción de carne;Laspaúles;HUESCA;CASTEJÓN DE SOS;30;793040;4706330;Convencional;
